agent_ref,parent_agent_ref,depth,child_count,safe_role_category,source_projection_disposition,nickname_metadata_present,communication_metadata_present,tool_activity_metadata_present,task_activity_metadata_present,final_answer_payload_preserved,model_provider_metadata_present,actual_model_identity_preserved,assignment_payload_preserved,task_turns_started,task_turns_completed,turns_aborted,error_markers,terminal_evidence,usefulness_or_acceptance
agent-0001,,0,586,programme-root,excluded,False,False,False,False,False,False,False,False,0,0,0,0,no-terminal-evidence,unknown
agent-0002,agent-0001,1,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0003,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0004,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0005,agent-0003,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,5,4,0,0,task-complete-observed,unknown
agent-0006,agent-0001,1,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,26,27,0,0,task-complete-observed,unknown
agent-0007,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0008,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0009,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0010,agent-0009,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,22,22,0,0,task-complete-observed,unknown
agent-0011,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0012,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0013,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0014,agent-0012,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0015,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0016,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0017,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,5,5,0,0,task-complete-observed,unknown
agent-0018,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0019,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0020,agent-0019,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,24,24,0,0,task-complete-observed,unknown
agent-0021,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0022,agent-0021,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0023,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0024,agent-0023,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0025,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,1,2,0,task-complete-observed,unknown
agent-0026,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,7,7,1,1,completed-turn-with-error,unknown
agent-0027,agent-0026,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0028,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0029,agent-0028,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,16,16,0,0,task-complete-observed,unknown
agent-0030,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0031,agent-0030,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,23,23,0,0,task-complete-observed,unknown
agent-0032,agent-0001,1,3,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,4,0,0,task-complete-observed,unknown
agent-0033,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,3,0,0,task-complete-observed,unknown
agent-0034,agent-0033,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,19,19,0,0,task-complete-observed,unknown
agent-0035,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0036,agent-0035,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,19,19,0,0,task-complete-observed,unknown
agent-0037,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,4,4,0,1,completed-turn-with-error,unknown
agent-0038,agent-0037,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,5,4,0,1,completed-turn-with-error,unknown
agent-0039,agent-0037,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,5,3,1,1,completed-turn-with-error,unknown
agent-0040,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0041,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0042,agent-0041,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0043,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0044,agent-0043,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,20,20,0,0,task-complete-observed,unknown
agent-0045,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0046,agent-0045,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,20,20,0,0,task-complete-observed,unknown
agent-0047,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0048,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0049,agent-0048,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0050,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0051,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0052,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0053,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0054,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0055,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0056,agent-0055,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0057,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,3,0,0,task-complete-observed,unknown
agent-0058,agent-0057,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,55,55,0,0,task-complete-observed,unknown
agent-0059,agent-0001,1,3,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,5,6,0,0,task-complete-observed,unknown
agent-0060,agent-0059,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,43,43,0,0,task-complete-observed,unknown
agent-0061,agent-0059,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0062,agent-0035,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,10,10,0,0,task-complete-observed,unknown
agent-0063,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0064,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0065,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0066,agent-0065,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0067,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0068,agent-0067,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,6,6,0,0,task-complete-observed,unknown
agent-0069,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0070,agent-0069,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,7,7,0,0,task-complete-observed,unknown
agent-0071,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0072,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0073,agent-0072,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0074,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0075,agent-0074,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,7,7,0,0,task-complete-observed,unknown
agent-0076,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0077,agent-0076,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0078,agent-0001,1,4,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0079,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0080,agent-0079,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0081,agent-0078,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,3,0,0,task-complete-observed,unknown
agent-0082,agent-0078,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,2,0,0,task-complete-observed,unknown
agent-0083,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0084,agent-0059,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0085,agent-0078,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,6,5,0,0,task-complete-observed,unknown
agent-0086,agent-0078,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,1,1,0,task-complete-observed,unknown
agent-0087,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0088,agent-0087,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,27,27,0,0,task-complete-observed,unknown
agent-0089,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,5,0,0,task-complete-observed,unknown
agent-0090,agent-0089,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,19,19,0,0,task-complete-observed,unknown
agent-0091,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0092,agent-0091,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,10,10,0,0,task-complete-observed,unknown
agent-0093,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0094,agent-0093,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0095,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0096,agent-0095,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,9,9,0,0,task-complete-observed,unknown
agent-0097,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0098,agent-0097,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0099,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0100,agent-0099,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,2,0,0,task-complete-observed,unknown
agent-0101,agent-0099,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,2,0,0,task-complete-observed,unknown
agent-0102,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0103,agent-0102,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0104,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0105,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0106,agent-0105,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0107,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0108,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0109,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0110,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0111,agent-0110,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0112,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0113,agent-0112,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0114,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,1,1,0,task-complete-observed,unknown
agent-0115,agent-0114,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0116,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0117,agent-0116,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,9,9,0,0,task-complete-observed,unknown
agent-0118,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0119,agent-0118,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,6,6,0,0,task-complete-observed,unknown
agent-0120,agent-0001,1,6,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0121,agent-0120,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0122,agent-0120,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,3,0,0,task-complete-observed,unknown
agent-0123,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0124,agent-0120,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,2,0,0,task-complete-observed,unknown
agent-0125,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0126,agent-0125,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,8,8,0,0,task-complete-observed,unknown
agent-0127,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0128,agent-0127,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,10,10,0,0,task-complete-observed,unknown
agent-0129,agent-0120,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0130,agent-0120,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,3,0,0,task-complete-observed,unknown
agent-0131,agent-0120,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,3,0,0,task-complete-observed,unknown
agent-0132,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0133,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0134,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0135,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0136,agent-0135,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,13,13,0,0,task-complete-observed,unknown
agent-0137,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0138,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0139,agent-0138,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0140,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0141,agent-0140,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0142,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0143,agent-0142,2,0,metadata-unavailable,captured,False,False,True,True,False,True,False,False,16,16,0,0,task-complete-observed,unknown
agent-0144,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0145,agent-0144,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,31,31,0,0,task-complete-observed,unknown
agent-0146,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0147,agent-0146,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0148,agent-0144,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,2,0,0,task-complete-observed,unknown
agent-0149,agent-0001,1,5,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0150,agent-0149,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,11,12,0,0,task-complete-observed,unknown
agent-0151,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0152,agent-0151,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,7,7,0,0,task-complete-observed,unknown
agent-0153,agent-0001,1,3,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0154,agent-0153,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,7,7,0,0,task-complete-observed,unknown
agent-0155,agent-0001,1,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,10,11,0,2,completed-turn-with-error,unknown
agent-0156,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,3,0,0,task-complete-observed,unknown
agent-0157,agent-0156,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,28,28,0,0,task-complete-observed,unknown
agent-0158,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0159,agent-0158,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,26,26,0,0,task-complete-observed,unknown
agent-0160,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,True,True,False,False,2,3,0,0,task-complete-observed,unknown
agent-0161,agent-0160,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,16,16,0,0,task-complete-observed,unknown
agent-0162,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0163,agent-0162,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,7,7,0,0,task-complete-observed,unknown
agent-0164,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,3,0,0,task-complete-observed,unknown
agent-0165,agent-0164,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,9,9,0,0,task-complete-observed,unknown
agent-0166,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0167,agent-0001,1,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,0,1,0,turn-aborted-without-completion,unknown
agent-0168,agent-0156,2,0,metadata-unavailable,captured,False,False,True,True,False,True,False,False,12,12,0,0,task-complete-observed,unknown
agent-0169,agent-0160,2,0,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0170,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0171,agent-0170,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0172,agent-0001,1,2,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,3,3,0,0,task-complete-observed,unknown
agent-0173,agent-0172,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0174,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0175,agent-0174,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,4,4,0,0,task-complete-observed,unknown
agent-0176,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0177,agent-0176,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0178,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0179,agent-0178,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,5,5,0,0,task-complete-observed,unknown
agent-0180,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0181,agent-0180,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,47,47,0,0,task-complete-observed,unknown
agent-0182,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0183,agent-0182,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,39,39,0,0,task-complete-observed,unknown
agent-0184,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0185,agent-0184,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,34,34,0,0,task-complete-observed,unknown
agent-0186,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0187,agent-0186,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,21,21,0,0,task-complete-observed,unknown
agent-0188,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0189,agent-0188,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0190,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
agent-0191,agent-0190,2,0,metadata-unavailable,captured,False,False,False,True,False,True,False,False,1,1,0,0,task-complete-observed,unknown
agent-0192,agent-0001,1,1,agent-metadata-present-role-unknown,captured,True,True,True,True,False,True,False,False,2,2,0,0,task-complete-observed,unknown
