commit,recorded_at_london,subject,source_url
a891fc207ad4ae6a8ec99b4dc512666ca6b217e5,2026-08-19T20:44:52+01:00,chore: establish GIS AI GO Stage 0 foundation,https://github.com/chris-page-gov/gis-ai-go/commit/a891fc207ad4ae6a8ec99b4dc512666ca6b217e5
983b1a102aa8038c9f50ae1b1894315c3ae0b89f,2026-08-19T20:44:52+01:00,docs(licence): apply MIT to project and research,https://github.com/chris-page-gov/gis-ai-go/commit/983b1a102aa8038c9f50ae1b1894315c3ae0b89f
be25bf2dd413aa7726f4358c9b33a119e6fdc79e,2026-08-19T21:28:22+01:00,chore(governance): establish autonomous delivery controls (#1),https://github.com/chris-page-gov/gis-ai-go/commit/be25bf2dd413aa7726f4358c9b33a119e6fdc79e
4ff9cc79946b1977a2022428336687a3dedb04b3,2026-08-19T22:14:25+01:00,feat(okf): generate canonical public bundle,https://github.com/chris-page-gov/gis-ai-go/commit/4ff9cc79946b1977a2022428336687a3dedb04b3
6984f3097cff578f0d22088ca8582ebe55725115,2026-08-20T00:04:21+01:00,feat(explorer): build accessible public catalogue (#9),https://github.com/chris-page-gov/gis-ai-go/commit/6984f3097cff578f0d22088ca8582ebe55725115
e5a522ee17f3a0a6f5857245c5ae3acd767efc25,2026-08-20T01:13:38+01:00,feat(discovery): add reviewed geospatial examples (#10),https://github.com/chris-page-gov/gis-ai-go/commit/e5a522ee17f3a0a6f5857245c5ae3acd767efc25
9ff1281a56f3b5d11e39d6fcccb9ae07faf7c2a5,2026-08-20T02:05:04+01:00,feat(publication): add immutable Pages deployment (#11),https://github.com/chris-page-gov/gis-ai-go/commit/9ff1281a56f3b5d11e39d6fcccb9ae07faf7c2a5
8e48e68ed6f072be22d46cc866dac947a7a71a4d,2026-08-20T02:17:44+01:00,fix(pages): use supported artifact transport (#12),https://github.com/chris-page-gov/gis-ai-go/commit/8e48e68ed6f072be22d46cc866dac947a7a71a4d
eced0ae697818b4989ebe95c5bf1572cc6ec90c2,2026-08-20T02:43:16+01:00,fix(publication): make Pages archive ingestible (#13),https://github.com/chris-page-gov/gis-ai-go/commit/eced0ae697818b4989ebe95c5bf1572cc6ec90c2
a0e826384cf50d9d81b87489dbf3580e8e3602f7,2026-08-20T03:15:42+01:00,fix(pages): use supported verified payload transport,https://github.com/chris-page-gov/gis-ai-go/commit/a0e826384cf50d9d81b87489dbf3580e8e3602f7
5cc1626c9e412393a520b463c6ba670ee51799f0,2026-08-20T03:39:07+01:00,docs(pages): record deployment acceptance evidence (#15),https://github.com/chris-page-gov/gis-ai-go/commit/5cc1626c9e412393a520b463c6ba670ee51799f0
24925fc7f77b416d557c719942c86eaa3578b4b1,2026-08-20T04:40:14+01:00,feat(assurance): complete v0.1.0 release gate,https://github.com/chris-page-gov/gis-ai-go/commit/24925fc7f77b416d557c719942c86eaa3578b4b1
f1bda209e6309bf4f14f7ab7f524c442e59917b8,2026-08-20T05:10:47+01:00,chore(release): prepare v0.1.0 (#17),https://github.com/chris-page-gov/gis-ai-go/commit/f1bda209e6309bf4f14f7ab7f524c442e59917b8
80ac89d89e04751045693cecff4a3a714d121ebe,2026-08-20T05:56:59+01:00,docs(release): record v0.1.0 support evidence (#18),https://github.com/chris-page-gov/gis-ai-go/commit/80ac89d89e04751045693cecff4a3a714d121ebe
e5e6d4db5ac7036198cde64279e815f214f3defd,2026-08-20T07:16:35+01:00,feat(catalogue): establish shared read-only contract,https://github.com/chris-page-gov/gis-ai-go/commit/e5e6d4db5ac7036198cde64279e815f214f3defd
4948890c10adb4f0ac6f427cda21cb0c0c4607dd,2026-08-20T08:34:03+01:00,feat(gateway): add inactive catalogue candidate,https://github.com/chris-page-gov/gis-ai-go/commit/4948890c10adb4f0ac6f427cda21cb0c0c4607dd
87d6a1b4f8fb15597e5ae91132aa9b61dca57667,2026-08-20T08:54:23+01:00,docs(operations): record gateway candidate acceptance,https://github.com/chris-page-gov/gis-ai-go/commit/87d6a1b4f8fb15597e5ae91132aa9b61dca57667
af9043955470568c146397d1a25dd8813eb7aa55,2026-08-20T11:08:10+01:00,feat(evidence): add canonical public inline receipts (#29),https://github.com/chris-page-gov/gis-ai-go/commit/af9043955470568c146397d1a25dd8813eb7aa55
997d5fdd478797b20b05d1980be8f986645d410e,2026-08-20T11:28:33+01:00,docs(evidence): record EVID-204A acceptance (#30),https://github.com/chris-page-gov/gis-ai-go/commit/997d5fdd478797b20b05d1980be8f986645d410e
edc26c0396ecd230570de1ab0fd402338567f67d,2026-08-20T17:02:32+01:00,feat(mcp): add inactive catalogue transports (#31),https://github.com/chris-page-gov/gis-ai-go/commit/edc26c0396ecd230570de1ab0fd402338567f67d
66507f9a6e6c0da23a8af4682268f9362d93bc06,2026-08-20T18:05:19+01:00,docs(mcp): record transport acceptance evidence (#32),https://github.com/chris-page-gov/gis-ai-go/commit/66507f9a6e6c0da23a8af4682268f9362d93bc06
cb6b817ea7a2e025b3fe9a42c085d117467ced04,2026-08-20T19:50:23+01:00,feat(evidence): add durable public ledger candidate (#33),https://github.com/chris-page-gov/gis-ai-go/commit/cb6b817ea7a2e025b3fe9a42c085d117467ced04
6837af6eaa01ffb45e7da08d6a9131cedd1b1a0b,2026-08-20T20:12:51+01:00,feat(execution): add deterministic service (#34),https://github.com/chris-page-gov/gis-ai-go/commit/6837af6eaa01ffb45e7da08d6a9131cedd1b1a0b
364c8680ad11399e0547a843be2a04da7a737301,2026-08-20T20:44:24+01:00,feat(providers): add bounded adapter preflight (#35),https://github.com/chris-page-gov/gis-ai-go/commit/364c8680ad11399e0547a843be2a04da7a737301
76103c1b10d57abb1e3dce4b6fe793faecf81dc8,2026-08-20T21:44:24+01:00,feat(tools): add bounded profile registry (#36),https://github.com/chris-page-gov/gis-ai-go/commit/76103c1b10d57abb1e3dce4b6fe793faecf81dc8
c4d43f9d0f7af143e01eb3381e5adc4625fac2f0,2026-08-20T22:15:57+01:00,feat(gateway): expose inactive evidence inspection transport (#37),https://github.com/chris-page-gov/gis-ai-go/commit/c4d43f9d0f7af143e01eb3381e5adc4625fac2f0
b798a40b940e135b933c3b757cb5a9f9ff6aa2ae,2026-08-20T22:37:21+01:00,test(interop): record bounded host conformance evidence (#38),https://github.com/chris-page-gov/gis-ai-go/commit/b798a40b940e135b933c3b757cb5a9f9ff6aa2ae
ef960f70fe409b0dcf7d75b0b92ac28802b5b6db,2026-08-20T23:40:06+01:00,feat(provider): add bounded ONS Data API adapter (#39),https://github.com/chris-page-gov/gis-ai-go/commit/ef960f70fe409b0dcf7d75b0b92ac28802b5b6db
5a7e441bfc754af2bf95ec49a5ec113951c7c0bf,2026-08-21T00:51:37+01:00,feat(policy): add public-read v2 contracts (#41),https://github.com/chris-page-gov/gis-ai-go/commit/5a7e441bfc754af2bf95ec49a5ec113951c7c0bf
e1fc1cbe69ea72c9aa310607d80f392ef56b0d58,2026-08-21T01:03:34+01:00,feat(gateway): add legacy host conformance seam (#40),https://github.com/chris-page-gov/gis-ai-go/commit/e1fc1cbe69ea72c9aa310607d80f392ef56b0d58
96fe97ebb254484e815e4bd5febf1976fb2ff5de,2026-08-21T01:58:30+01:00,test(interop): expand QUAL-206 evaluation corpus (#42),https://github.com/chris-page-gov/gis-ai-go/commit/96fe97ebb254484e815e4bd5febf1976fb2ff5de
99426ded11f69ca25cf694649deac7ce818e2a29,2026-08-21T02:13:05+01:00,feat(gateway): add inactive selection resolution (#43),https://github.com/chris-page-gov/gis-ai-go/commit/99426ded11f69ca25cf694649deac7ce818e2a29
b5f8edc78b011f3d4ccb4c6be60bbd49cdc4fc47,2026-08-21T03:12:47+01:00,feat(gateway): add inactive public data query (#44),https://github.com/chris-page-gov/gis-ai-go/commit/b5f8edc78b011f3d4ccb4c6be60bbd49cdc4fc47
51147e0c7af438c28bb8dc4c66c8eb7fb27d3ded,2026-08-21T04:27:05+01:00,feat(gateway): add inactive public-read transports (#45),https://github.com/chris-page-gov/gis-ai-go/commit/51147e0c7af438c28bb8dc4c66c8eb7fb27d3ded
525304145088bda558687438c87440bde1f642a4,2026-08-21T08:01:09+01:00,feat(evidence): add receipt-only query reconciliation (#46),https://github.com/chris-page-gov/gis-ai-go/commit/525304145088bda558687438c87440bde1f642a4
bc47a41f830a5763f5b5d60a2ed578fec79c796a,2026-08-21T08:32:22+01:00,docs: record EVID-204 protected-main acceptance (#47),https://github.com/chris-page-gov/gis-ai-go/commit/bc47a41f830a5763f5b5d60a2ed578fec79c796a
e65071dc1f1bb0baab852bbf8218f9b5f953ad02,2026-08-22T06:02:08+01:00,feat(deploy): add blocked gateway container assurance (#48),https://github.com/chris-page-gov/gis-ai-go/commit/e65071dc1f1bb0baab852bbf8218f9b5f953ad02
f0e3ccc1dceeba6b3f7d0ecd56c5dd083dee405a,2026-08-22T11:19:16+01:00,feat(quality): complete QUAL-206 repository preflight (#49),https://github.com/chris-page-gov/gis-ai-go/commit/f0e3ccc1dceeba6b3f7d0ecd56c5dd083dee405a
cff45ebfb4117a39808a1887167dbc3f5d81cff8,2026-08-23T16:34:38+01:00,docs: record protected-main QUAL-206 acceptance (#50),https://github.com/chris-page-gov/gis-ai-go/commit/cff45ebfb4117a39808a1887167dbc3f5d81cff8
d2e8bb8b6d0f6ee9c693d117b4a238861a5129c3,2026-08-23T17:08:17+01:00,feat(evidence): complete trace and readiness integrity (#51),https://github.com/chris-page-gov/gis-ai-go/commit/d2e8bb8b6d0f6ee9c693d117b4a238861a5129c3
27d76e1149ce1711e1af98fe0bb52a3666471a58,2026-08-23T18:54:24+01:00,feat(gateway): assemble governed read-only candidate (#53),https://github.com/chris-page-gov/gis-ai-go/commit/27d76e1149ce1711e1af98fe0bb52a3666471a58
37a71cdcc55bf3708527596d47ea9839d150fed5,2026-08-23T19:38:14+01:00,docs(research): assess agent governance sources (#52),https://github.com/chris-page-gov/gis-ai-go/commit/37a71cdcc55bf3708527596d47ea9839d150fed5
7fa8b720d3cbaa3e0a1ebfadf0fb355a7330a04c,2026-08-23T21:25:51+01:00,feat(evidence): receipt current inspection calls,https://github.com/chris-page-gov/gis-ai-go/commit/7fa8b720d3cbaa3e0a1ebfadf0fb355a7330a04c
30b575beb27ff805745a2864c1acf44392774046,2026-08-23T22:17:51+01:00,test(qual): bind local protocol source matrix (#55),https://github.com/chris-page-gov/gis-ai-go/commit/30b575beb27ff805745a2864c1acf44392774046
fedba12b619e9be6e443e8b249d680b26f73ce9e,2026-08-23T23:20:51+01:00,test(qual): bind Claude legacy readiness (#56),https://github.com/chris-page-gov/gis-ai-go/commit/fedba12b619e9be6e443e8b249d680b26f73ce9e
deceb1cd5aeff74997b7aca5c862d2cae734b8c5,2026-08-24T18:43:13+01:00,feat(assurance): integrate the v0.2.0 repository candidate (#57),https://github.com/chris-page-gov/gis-ai-go/commit/deceb1cd5aeff74997b7aca5c862d2cae734b8c5
dda0eb9f776e64bcd45069e77b4acbcd4d495e01,2026-08-24T19:10:17+01:00,fix(ci): use the verified independent builder identity (#58),https://github.com/chris-page-gov/gis-ai-go/commit/dda0eb9f776e64bcd45069e77b4acbcd4d495e01
d7884589f814781aa6df749971a1f3fe5ac789fc,2026-08-24T20:36:02+01:00,test(qual): bind current Claude protocol variance (#59),https://github.com/chris-page-gov/gis-ai-go/commit/d7884589f814781aa6df749971a1f3fe5ac789fc
