ref,date,started_at_utc,completed_at_utc,time_precision,client_version,phase,outcome,tool_calls,accepted_capability_projection,summary,source
C01,2026-08-23,2026-08-23T21:41:20.640Z,,instant,2.1.204,legacy-transport-readiness,pass-capability-unscored,0,False,Legacy initialisation and tools/list passed; no model task or tool call.,tests/interoperability/evidence/claude-code-legacy-stdio-readiness-2026-08-23.json
C02,2026-08-24,,,date-only,2.1.241,strict-modern-protocol-readiness,not-ready-capability-unscored,0,False,Client offered MCP 2025-11-25 and the strict 2026-07-28 surface rejected it.,tests/interoperability/evidence/claude-code-2.1.241-stdio-observation-2026-08-24.json
C03,2026-08-24,,,date-only,2.1.241,constructor-fallback-readiness,pass-capability-unscored,0,False,Constructor-only fallback negotiated MCP 2025-06-18 and completed tools/list.,tests/interoperability/evidence/claude-code-2.1.241-stdio-observation-2026-08-24.json
C04,2026-08-25,2026-08-25T06:11:58.916Z,2026-08-25T06:11:59.889Z,interval,2.1.241,v2-modern-transport-readiness,pass-capability-unscored,0,False,V2 automatic negotiation completed server/discover and modern tools/list sessions.,tests/interoperability/evidence/claude-code-2.1.241-modern-stdio-readiness-2026-08-25.json
C05,2026-08-25,2026-08-25T16:12:36.853Z,2026-08-25T16:12:37.921Z,interval,2.1.245,upgraded-client-modern-transport-readiness,pass-capability-unscored,0,False,Upgraded client repeated the strict-modern readiness pass without a model task.,tests/interoperability/evidence/claude-code-2.1.245-modern-stdio-readiness-2026-08-25.json
C06,2026-08-26,,,date-only,2.1.245,host-002-one-turn,failed-before-structured-completion,1,False,"A valid MCP result was returned, then the one-agentic-turn ceiling produced error_max_turns.",docs/operations/QUAL-206_CLAUDE_CAPABILITY.md
C07,2026-08-26,2026-08-26T07:11:24.404Z,,instant,2.1.245,host-002-two-turn,capability-pass,1,True,One canonical catalogue.search call and its receipt passed independent verification.,tests/interoperability/evidence/claude-code-2.1.245-host-002-capability-2026-08-26.json
C08,2026-08-27,,,date-only,2.1.245,exact-five-seven-turn-bound,incomplete-four-calls,4,False,The run stopped after four calls without evidence.inspect.,docs/operations/QUAL-206_CLAUDE_EXACT_FIVE_CAPABILITY.md
C09,2026-08-27,,,date-only,2.1.245,exact-five-eight-turn-bound,incomplete-four-calls,4,False,The higher bound still stopped after four calls without evidence.inspect.,docs/operations/QUAL-206_CLAUDE_EXACT_FIVE_CAPABILITY.md
C10,2026-08-27,,,date-only,2.1.245,exact-five-ten-turn-bound,incomplete-four-calls,4,False,"The run ended at reported turn 7, but the model-facing set still omitted evidence.inspect.",docs/operations/QUAL-206_CLAUDE_EXACT_FIVE_CAPABILITY.md
C11,2026-08-27,,,date-only,2.1.245,exact-five-schema-projected,five-calls-verifier-withheld,5,False,"All five calls succeeded, but the verifier had not yet admitted the documented structured terminal form.",docs/operations/QUAL-206_CLAUDE_EXACT_FIVE_CAPABILITY.md
C12,2026-08-27,2026-08-27T20:55:58.173Z,,instant,2.1.245,exact-five-terminal-corrected,capability-pass,5,True,A fresh protected-main run completed all five calls and passed independent verification.,tests/interoperability/evidence/claude-code-2.1.245-exact-five-capability-2026-08-27.json
